iter	RMSE
0	12.32441109
1	12.0592617
2	11.88698203
3	11.67674911
4	11.49049667
5	11.34909394
6	11.1810873
7	11.07349791
8	10.96357871
9	10.86310551
10	10.75661309
11	10.67183256
12	10.57232563
13	10.49931227
14	10.42641112
15	10.37846293
16	10.29617181
17	10.2484526
18	10.20199185
19	10.15940415
20	10.11488063
21	10.05976124
22	10.01033352
23	9.931181683
24	9.868592346
25	9.829506081
26	9.804899589
27	9.771977425
28	9.725536881
29	9.683609794
30	9.650692798
31	9.610432569
32	9.584954622
33	9.553080662
34	9.522080648
35	9.492077255
36	9.458904607
37	9.416571646
38	9.38518136
39	9.338372803
40	9.316133223
41	9.296486908
42	9.265160566
43	9.23215644
44	9.206162938
45	9.19441248
46	9.178188753
47	9.143887991
48	9.12056575
49	9.08446293
50	9.045258867
51	9.022558499
52	8.996822174
53	8.980818426
54	8.954099785
55	8.92513918
56	8.915722987
57	8.904131775
58	8.880514588
59	8.857100974
60	8.826267611
61	8.8066084
62	8.789639127
63	8.76806935
64	8.760242954
65	8.74405563
66	8.716663454
67	8.713906633
68	8.703506302
69	8.689179574
70	8.671578918
71	8.659842152
72	8.648166896
73	8.628122941
74	8.600540751
75	8.580026379
76	8.572425636
77	8.555786964
78	8.545352167
79	8.511693699
80	8.485924666
81	8.475598023
82	8.464184883
83	8.452034425
84	8.436379182
85	8.414683
86	8.405231219
87	8.397999994
88	8.391656044
89	8.375907528
90	8.350385093
91	8.336394436
92	8.313421917
93	8.288313373
94	8.280802211
95	8.260152697
96	8.24402393
97	8.223191532
98	8.205289297
99	8.194757157
100	8.188047379
101	8.169485829
102	8.158368248
103	8.145573305
104	8.133429144
105	8.125185815
106	8.111176691
107	8.104247138
108	8.091772975
109	8.081222314
110	8.073059559
111	8.059240568
112	8.045065724
113	8.036325613
114	8.027130351
115	8.017217441
116	8.00697729
117	7.968976824
118	7.944715861
119	7.926637198
120	7.915535686
121	7.902684315
122	7.88827771
123	7.871447358
124	7.858587802
125	7.852467126
126	7.844134602
127	7.835536674
128	7.820671288
129	7.813231245
130	7.799472716
131	7.793960287
132	7.785901645
133	7.781221332
134	7.76581796
135	7.752427436
136	7.734032542
137	7.722662048
138	7.720279053
139	7.71457795
140	7.700106133
141	7.687418609
142	7.674939117
143	7.6637617
144	7.653614276
145	7.644036954
146	7.6298618
147	7.611325047
148	7.603026748
149	7.59596056
150	7.592084437
151	7.585655823
152	7.580712089
153	7.57132278
154	7.559598909
155	7.539953954
156	7.519506142
157	7.512152962
158	7.502594407
159	7.49658091
160	7.480462116
161	7.468428862
162	7.46328903
163	7.449189293
164	7.443290196
165	7.429964736
166	7.420674662
167	7.413769775
168	7.407764002
169	7.400289357
170	7.394240848
171	7.385196078
172	7.378873187
173	7.369894137
174	7.364680817
175	7.355772479
176	7.345484298
177	7.339139989
178	7.332690925
179	7.322706139
180	7.314683275
181	7.307322511
182	7.295959309
183	7.292082338
184	7.284643649
185	7.280382963
186	7.270935287
187	7.259260585
188	7.251730271
189	7.244182714
190	7.240336404
191	7.23344692
192	7.228344814
193	7.224057661
194	7.215897606
195	7.209059237
196	7.201859757
197	7.196998584
198	7.176319155
199	7.163831748
200	7.1589798
201	7.15297857
202	7.144131793
203	7.13641674
204	7.129559689
205	7.125051741
206	7.121462764
207	7.118441272
208	7.109050528
209	7.102705627
210	7.094321131
211	7.0880837
212	7.080538107
213	7.071859053
214	7.066589583
215	7.059600471
216	7.051356385
217	7.039968071
218	7.031622163
219	7.023273589
220	7.019348664
221	7.010490997
222	7.00297641
223	6.997096615
224	6.987551609
225	6.974201553
226	6.96757307
227	6.959826253
228	6.955035968
229	6.949594862
230	6.944427199
231	6.937750742
232	6.933004136
233	6.917603411
234	6.915153335
235	6.909348093
236	6.901041963
237	6.894644438
238	6.884244708
239	6.880772315
240	6.873879874
241	6.869402449
242	6.866036441
243	6.860384796
244	6.85242379
245	6.845676745
246	6.84163148
247	6.830551647
248	6.827666554
249	6.817782356
250	6.812888248
251	6.804934737
252	6.798547967
253	6.79439304
254	6.785840098
255	6.781532927
256	6.774557425
257	6.77150307
258	6.762110665
259	6.75816584
260	6.751596351
261	6.744851801
262	6.729204328
263	6.723854823
264	6.717915188
265	6.714906355
266	6.711074293
267	6.706732594
268	6.703106076
269	6.698016377
270	6.691103628
271	6.687005511
272	6.682821451
273	6.680057368
274	6.67766434
275	6.671860102
276	6.667662388
277	6.662670291
278	6.65683863
279	6.653997993
280	6.647008692
281	6.640826604
282	6.637653341
283	6.633779681
284	6.625731717
285	6.619420159
286	6.614895648
287	6.610715211
288	6.60502366
289	6.60102612
290	6.593946794
291	6.591512471
292	6.584148022
293	6.578499054
294	6.57428594
295	6.569912771
296	6.565508951
297	6.559561159
298	6.556352956
299	6.550813005
300	6.545681607
301	6.541487461
302	6.535433655
303	6.531378595
304	6.52571416
305	6.512559766
306	6.510132652
307	6.503663335
308	6.501775969
309	6.496780456
310	6.494950875
311	6.487064415
312	6.480525207
313	6.475280166
314	6.461614893
315	6.458650851
316	6.451670078
317	6.447023572
318	6.439709146
319	6.436371703
320	6.432877946
321	6.42699549
322	6.419212043
323	6.414863367
324	6.408133246
325	6.404089795
326	6.401774646
327	6.397335514
328	6.394503363
329	6.388710582
330	6.379472197
331	6.377439476
332	6.370040732
333	6.364729623
334	6.359545848
335	6.357137005
336	6.353189225
337	6.349845844
338	6.348948824
339	6.345659755
340	6.341767243
341	6.339664072
342	6.334993621
343	6.329739187
344	6.328163131
345	6.326146072
346	6.323143394
347	6.320659809
348	6.311204479
349	6.307319138
350	6.299702603
351	6.296562101
352	6.293021429
353	6.29048941
354	6.286799724
355	6.282786708
356	6.279218755
357	6.276499962
358	6.270229674
359	6.268576005
360	6.264200328
361	6.261101359
362	6.25660668
363	6.252182295
364	6.249285637
365	6.247335162
366	6.242845356
367	6.238150677
368	6.234465964
369	6.225824019
370	6.223828421
371	6.220007218
372	6.214523982
373	6.210862501
374	6.200766942
375	6.197742606
376	6.194062146
377	6.19013403
378	6.182553595
379	6.17742378
380	6.171161985
381	6.165946092
382	6.162226147
383	6.158936851
384	6.155850887
385	6.154031845
386	6.14929721
387	6.144500664
388	6.139723309
389	6.138009715
390	6.132331138
391	6.130901883
392	6.127414529
393	6.124593149
394	6.123108456
395	6.121378402
396	6.117671756
397	6.105647921
398	6.103253778
399	6.098938597
400	6.09544575
401	6.091885689
402	6.08611265
403	6.081575192
404	6.075691243
405	6.071704478
406	6.070502569
407	6.067096152
408	6.056640005
409	6.051507353
410	6.048106549
411	6.044324901
412	6.041806754
413	6.038537519
414	6.034667957
415	6.033029757
416	6.032152279
417	6.023948234
418	6.017096255
419	6.012216762
420	6.008777745
421	6.007119643
422	6.003394859
423	6.000107082
424	5.99626028
425	5.993897645
426	5.986943934
427	5.985484516
428	5.981368182
429	5.976554536
430	5.973935856
431	5.971312788
432	5.970499635
433	5.967385055
434	5.963501645
435	5.962543843
436	5.957229111
437	5.953088254
438	5.950850367
439	5.949766418
440	5.947762253
441	5.944474168
442	5.940897027
443	5.938509098
444	5.933581451
445	5.931643811
446	5.928953148
447	5.927398626
448	5.924307374
449	5.92179251
450	5.919469923
451	5.917565575
452	5.913481517
453	5.906282406
454	5.904210372
455	5.899854767
456	5.897169661
457	5.89480865
458	5.891096516
459	5.888397928
460	5.886977764
461	5.885833119
462	5.879718019
463	5.877833436
464	5.874509266
465	5.873129899
466	5.871189515
467	5.869092443
468	5.865326022
469	5.861531446
470	5.858903874
471	5.855499755
472	5.849962393
473	5.849205458
474	5.847324055
475	5.845993015
476	5.8451369
477	5.842877374
478	5.834418981
479	5.82902869
480	5.826193026
481	5.823079727
482	5.818278695
483	5.815861265
484	5.814130245
485	5.812406415
486	5.807866073
487	5.805255863
488	5.798797199
489	5.796622318
490	5.794753827
491	5.791752093
492	5.7882023
493	5.786818344
494	5.784569116
495	5.783068266
496	5.780274168
497	5.779656104
498	5.777598017
499	5.771490012
500	5.768989702
501	5.764429213
502	5.762755462
503	5.762480594
504	5.760151323
505	5.75759704
506	5.75512216
507	5.750221744
508	5.747584715
509	5.745496267
510	5.744329377
511	5.741785882
512	5.740268946
513	5.739285735
514	5.737170193
515	5.732822933
516	5.731428366
517	5.72817513
518	5.726920816
519	5.724829416
520	5.723061563
521	5.721632145
522	5.718914266
523	5.715057525
524	5.70991598
525	5.708099687
526	5.706353773
527	5.704640805
528	5.702805363
529	5.700263128
530	5.695684384
531	5.691558677
532	5.686045165
533	5.682402919
534	5.679583347
535	5.678559309
536	5.675384993
537	5.67392129
538	5.671629416
539	5.669677317
540	5.667930959
541	5.666255438
542	5.658779765
543	5.656489057
544	5.65483458
545	5.652179808
546	5.648770194
547	5.646309593
548	5.643131575
549	5.639545089
550	5.638022079
551	5.635983926
552	5.633396564
553	5.631698765
554	5.628791486
555	5.627524758
556	5.626443217
557	5.623245054
558	5.618636455
559	5.614561166
560	5.608834239
561	5.606956329
562	5.602643442
563	5.599951431
564	5.595534639
565	5.592902994
566	5.587771913
567	5.586638255
568	5.58448399
569	5.582564957
570	5.581113045
571	5.577330548
572	5.575869079
573	5.57292283
574	5.571764319
575	5.568627854
576	5.567415136
577	5.560475714
578	5.555259251
579	5.552699952
580	5.550066631
581	5.548445236
582	5.545074839
583	5.54377165
584	5.542055447
585	5.540350876
586	5.537816542
587	5.536526915
588	5.535362089
589	5.533207412
590	5.528318494
591	5.523054456
592	5.520769775
593	5.520127123
594	5.518038293
595	5.5157605
596	5.51481178
597	5.513476398
598	5.510994701
599	5.505030719
600	5.503593687
601	5.501350501
602	5.499514976
603	5.495742324
604	5.494821095
605	5.492637199
606	5.489272408
607	5.483909414
608	5.480934524
609	5.479724362
610	5.477416225
611	5.475413875
612	5.474693925
613	5.473549191
614	5.469911241
615	5.467859904
616	5.464765914
617	5.458368947
618	5.45495786
619	5.452044097
620	5.450426827
621	5.449765129
622	5.44679345
623	5.445055235
624	5.443111082
625	5.441914102
626	5.44032304
627	5.439606124
628	5.437875633
629	5.433679055
630	5.432521517
631	5.429860872
632	5.429152713
633	5.426863168
634	5.425483222
635	5.424189752
636	5.422633319
637	5.421066113
638	5.419287358
639	5.418011776
640	5.412674485
641	5.411628706
642	5.410285797
643	5.405558227
644	5.403352026
645	5.399537143
646	5.396647301
647	5.393905269
648	5.392843009
649	5.390343501
650	5.386123148
651	5.383820439
652	5.380742175
653	5.378102722
654	5.376426893
655	5.373916062
656	5.372445921
657	5.370043749
658	5.368591538
659	5.367326942
660	5.363940444
661	5.362905371
662	5.360903778
663	5.35945494
664	5.358274252
665	5.357576855
666	5.355752025
667	5.352709833
668	5.349486813
669	5.347486117
670	5.346468893
671	5.345185524
672	5.342051947
673	5.339327793
674	5.336954675
675	5.33453403
676	5.331854502
677	5.331119136
678	5.328716272
679	5.327356646
680	5.326019593
681	5.323974499
682	5.321543226
683	5.320592857
684	5.318469649
685	5.317951349
686	5.316465598
687	5.314433237
688	5.312258363
689	5.308444241
690	5.307438765
691	5.302997461
692	5.301973449
693	5.300234121
694	5.297459705
695	5.296799251
696	5.295946225
697	5.29401588
698	5.291488035
699	5.289709962
700	5.288085518
701	5.285417158
702	5.283516727
703	5.281758701
704	5.27999747
705	5.277310105
706	5.275391076
707	5.272874513
708	5.27161078
709	5.270763736
710	5.269973988
711	5.268166901
712	5.264717985
713	5.264264879
714	5.263048072
715	5.261363465
716	5.258547594
717	5.257745441
718	5.256632844
719	5.255140524
720	5.252674028
721	5.249037213
722	5.245853286
723	5.244115692
724	5.241682153
725	5.240832111
726	5.238776809
727	5.236618634
728	5.231410203
729	5.230166278
730	5.228723531
731	5.22345326
732	5.220322362
733	5.219259286
734	5.217627831
735	5.213790697
736	5.211737068
737	5.210285221
738	5.208553664
739	5.207676345
740	5.206539391
741	5.205355442
742	5.200027275
743	5.197076622
744	5.194462511
745	5.191578205
746	5.190065574
747	5.18803002
748	5.186362633
749	5.182988042
750	5.181832145
751	5.179116728
752	5.176409169
753	5.176202563
754	5.173808071
755	5.171863609
756	5.169603229
757	5.167077716
758	5.166002802
759	5.164226068
760	5.163172241
761	5.162759216
762	5.160898942
763	5.159542665
764	5.157707691
765	5.153761002
766	5.153101734
767	5.152433962
768	5.148682002
769	5.145513341
770	5.143807002
771	5.141329099
772	5.139698928
773	5.136914108
774	5.136526078
775	5.135041739
776	5.134158901
777	5.1319842
778	5.130830833
779	5.130033825
780	5.128406882
781	5.127734723
782	5.125057243
783	5.124358106
784	5.122692092
785	5.120194464
786	5.117874153
787	5.116349173
788	5.115045581
789	5.113793423
790	5.110420619
791	5.110070482
792	5.108723885
793	5.107323145
794	5.103985595
795	5.103113769
796	5.101285128
797	5.100252382
798	5.099637788
799	5.098328007
800	5.097825201
801	5.095560389
802	5.093390874
803	5.09168112
804	5.086640903
805	5.084974968
806	5.082715805
807	5.079545178
808	5.078704819
809	5.076943526
810	5.076374251
811	5.073065558
812	5.0714148
813	5.07003181
814	5.067531938
815	5.066067273
816	5.063986626
817	5.063261318
818	5.062494298
819	5.061458226
820	5.060714812
821	5.060040194
822	5.058976984
823	5.056399417
824	5.053781068
825	5.052664198
826	5.051098883
827	5.049707225
828	5.047786152
829	5.047512999
830	5.046104146
831	5.044091051
832	5.041682397
833	5.039877844
834	5.038372519
835	5.037668582
836	5.035566309
837	5.034647185
838	5.034319613
839	5.031747825
840	5.030258525
841	5.029318886
842	5.028245985
843	5.026948573
844	5.025094371
845	5.02442568
846	5.021001007
847	5.020056686
848	5.017804232
849	5.016082391
850	5.015114758
851	5.013757534
852	5.011545283
853	5.010280466
854	5.009836877
855	5.009652431
856	5.008539737
857	5.007038303
858	5.006651163
859	5.006019771
860	5.004246072
861	5.001505826
862	4.998709847
863	4.996531359
864	4.993744177
865	4.991714259
866	4.988714435
867	4.985684285
868	4.984622808
869	4.9837352
870	4.982232858
871	4.979853852
872	4.976991111
873	4.975056542
874	4.972358749
875	4.970659033
876	4.968353517
877	4.967423745
878	4.966558584
879	4.963497695
880	4.962507566
