iter	Passed	Remaining
0	147	147250
1	150	75274
2	154	51336
3	157	39282
4	160	32032
5	164	27212
6	167	23766
7	171	21207
8	174	19184
9	177	17563
10	180	16247
11	183	15143
12	187	14214
13	190	13418
14	193	12728
15	197	12123
16	200	11587
17	203	11113
18	206	10684
19	210	10305
20	213	9956
21	216	9640
22	220	9355
23	223	9100
24	227	8853
25	230	8623
26	233	8405
27	236	8219
28	240	8043
29	243	7875
30	246	7718
31	250	7568
32	253	7428
33	256	7296
34	260	7169
35	263	7053
36	266	6943
37	270	6839
38	273	6738
39	276	6642
40	280	6549
41	283	6461
42	286	6374
43	289	6292
44	292	6214
45	296	6139
46	299	6069
47	302	6001
48	305	5933
49	308	5870
50	312	5812
51	315	5756
52	319	5701
53	322	5645
54	325	5593
55	328	5544
56	332	5498
57	335	5450
58	339	5406
59	342	5362
60	345	5319
61	348	5277
62	351	5234
63	355	5193
64	358	5155
65	361	5117
66	364	5081
67	366	5020
68	369	4984
69	372	4951
70	375	4919
71	379	4885
72	382	4853
73	385	4823
74	388	4793
75	391	4764
76	395	4737
77	398	4709
78	401	4684
79	405	4658
80	408	4632
81	411	4607
82	414	4582
83	418	4558
84	421	4533
85	424	4512
86	427	4489
87	430	4466
88	434	4444
89	437	4423
90	440	4402
91	443	4381
92	447	4367
93	451	4352
94	455	4334
95	458	4314
96	461	4296
97	464	4278
98	468	4260
99	471	4242
100	474	4224
101	477	4207
102	481	4190
103	484	4172
104	487	4154
105	490	4137
106	493	4120
107	496	4103
108	500	4088
109	503	4071
110	506	4055
111	509	4041
112	512	4026
113	516	4011
114	519	3996
115	522	3982
116	526	3971
117	529	3957
118	532	3945
119	536	3932
120	539	3918
121	542	3906
122	546	3893
123	549	3882
124	552	3870
125	556	3858
126	559	3845
127	562	3835
128	566	3824
129	569	3812
130	573	3801
131	576	3789
132	579	3776
133	582	3764
134	585	3752
135	588	3740
136	592	3729
137	595	3718
138	598	3706
139	601	3694
140	604	3683
141	607	3672
142	610	3661
143	614	3651
144	617	3640
145	620	3631
146	624	3621
147	627	3610
148	630	3601
149	633	3592
150	637	3583
151	640	3572
152	643	3563
153	646	3553
154	650	3543
155	653	3535
156	656	3526
157	659	3516
158	663	3507
159	666	3498
160	669	3488
161	672	3479
162	675	3470
163	679	3462
164	682	3453
165	685	3443
166	688	3435
167	692	3427
168	695	3419
169	698	3411
170	702	3403
171	705	3395
172	708	3387
173	711	3378
174	714	3370
175	717	3361
176	721	3352
177	724	3344
178	727	3336
179	730	3329
180	734	3321
181	737	3313
182	740	3306
183	743	3298
184	746	3290
185	750	3283
186	753	3275
187	756	3268
188	760	3261
189	763	3255
190	766	3246
191	769	3239
192	772	3232
193	776	3224
194	779	3217
195	782	3210
196	785	3202
197	789	3195
198	792	3189
199	795	3182
200	798	3175
201	802	3168
202	806	3165
203	809	3159
204	812	3152
205	816	3145
206	819	3139
207	822	3132
208	826	3126
209	829	3120
210	832	3113
211	835	3106
212	839	3100
213	842	3093
214	845	3086
215	848	3080
216	851	3073
217	855	3067
218	858	3060
219	861	3054
220	864	3048
221	867	3041
222	871	3035
223	874	3028
224	877	3022
225	880	3016
226	884	3010
227	887	3004
228	890	2998
229	894	2992
230	897	2987
231	900	2980
232	903	2974
233	907	2969
234	910	2962
235	913	2956
236	916	2950
237	919	2945
238	923	2939
239	926	2933
240	929	2926
241	932	2920
242	935	2914
243	938	2909
244	942	2903
245	945	2898
246	948	2892
247	952	2886
248	955	2881
249	958	2876
250	962	2871
251	965	2866
252	968	2860
253	972	2854
254	975	2849
255	978	2844
256	981	2838
257	985	2833
258	988	2827
259	991	2822
260	994	2816
261	998	2811
262	1001	2805
263	1004	2800
264	1007	2795
265	1010	2789
266	1014	2784
267	1017	2779
268	1020	2774
269	1024	2769
270	1027	2763
271	1030	2757
272	1033	2752
273	1036	2747
274	1040	2741
275	1043	2736
276	1046	2731
277	1049	2726
278	1052	2721
279	1056	2715
280	1059	2710
281	1062	2705
282	1065	2699
283	1068	2694
284	1071	2689
285	1075	2684
286	1078	2679
287	1081	2674
288	1085	2669
289	1088	2664
290	1091	2659
291	1094	2654
292	1097	2649
293	1101	2644
294	1104	2639
295	1107	2633
296	1110	2628
297	1113	2623
298	1117	2618
299	1120	2613
300	1123	2608
301	1126	2604
302	1129	2599
303	1133	2594
304	1136	2589
305	1139	2584
306	1142	2579
307	1146	2575
308	1149	2570
309	1152	2565
310	1155	2560
311	1159	2556
312	1162	2551
313	1165	2546
314	1168	2541
315	1172	2537
316	1175	2532
317	1178	2527
318	1181	2523
319	1185	2518
320	1188	2513
321	1191	2509
322	1194	2504
323	1198	2499
324	1201	2495
325	1204	2490
326	1208	2486
327	1211	2482
328	1214	2477
329	1218	2473
330	1221	2468
331	1224	2464
332	1227	2459
333	1231	2455
334	1234	2450
335	1237	2445
336	1240	2441
337	1244	2436
338	1245	2429
339	1249	2425
340	1252	2420
341	1255	2416
342	1259	2411
343	1262	2407
344	1265	2402
345	1268	2397
346	1271	2393
347	1275	2389
348	1278	2385
349	1281	2380
350	1284	2375
351	1288	2371
352	1291	2367
353	1294	2362
354	1298	2358
355	1301	2354
356	1304	2349
357	1307	2345
358	1311	2341
359	1314	2336
360	1317	2332
361	1320	2327
362	1323	2323
363	1327	2319
364	1330	2314
365	1333	2310
366	1337	2306
367	1340	2302
368	1343	2297
369	1347	2293
370	1350	2289
371	1353	2284
372	1356	2280
373	1359	2275
374	1362	2271
375	1366	2267
376	1369	2262
377	1372	2258
378	1375	2254
379	1378	2249
380	1382	2245
381	1385	2241
382	1388	2236
383	1391	2232
384	1395	2228
385	1398	2224
386	1401	2220
387	1404	2216
388	1408	2212
389	1411	2208
390	1414	2203
391	1417	2199
392	1421	2194
393	1424	2190
394	1427	2186
395	1430	2182
396	1433	2178
397	1437	2173
398	1440	2169
399	1443	2165
400	1446	2161
401	1450	2157
402	1453	2153
403	1456	2148
404	1459	2144
405	1463	2141
406	1466	2137
407	1470	2133
408	1473	2129
409	1476	2125
410	1480	2121
411	1483	2117
412	1486	2113
413	1490	2109
414	1493	2105
415	1496	2101
416	1499	2096
417	1502	2092
418	1506	2088
419	1509	2084
420	1512	2080
421	1515	2076
422	1519	2072
423	1522	2068
424	1525	2064
425	1529	2060
426	1532	2056
427	1536	2052
428	1539	2049
429	1542	2045
430	1545	2040
431	1549	2036
432	1552	2033
433	1555	2029
434	1559	2025
435	1562	2021
436	1565	2017
437	1569	2013
438	1572	2010
439	1576	2006
440	1579	2001
441	1582	1998
442	1586	1994
443	1589	1990
444	1592	1986
445	1595	1982
446	1598	1977
447	1601	1973
448	1604	1969
449	1608	1965
450	1611	1961
451	1614	1957
452	1617	1953
453	1621	1949
454	1624	1945
455	1627	1941
456	1630	1937
457	1634	1933
458	1637	1929
459	1640	1926
460	1644	1922
461	1647	1917
462	1650	1913
463	1653	1910
464	1656	1906
465	1659	1902
466	1663	1898
467	1666	1894
468	1669	1890
469	1672	1886
470	1676	1882
471	1679	1878
472	1682	1874
473	1685	1870
474	1688	1866
475	1691	1862
476	1695	1858
477	1698	1854
478	1701	1850
479	1704	1846
480	1708	1843
481	1711	1839
482	1714	1835
483	1718	1831
484	1721	1827
485	1724	1823
486	1727	1820
487	1731	1816
488	1734	1812
489	1737	1808
490	1740	1804
491	1744	1800
492	1747	1796
493	1750	1793
494	1753	1789
495	1756	1785
496	1760	1781
497	1763	1777
498	1766	1773
499	1769	1769
500	1773	1766
501	1777	1762
502	1780	1758
503	1781	1753
504	1785	1750
505	1788	1746
506	1792	1742
507	1795	1738
508	1798	1735
509	1802	1731
510	1805	1727
511	1808	1724
512	1812	1720
513	1815	1716
514	1818	1712
515	1821	1708
516	1825	1705
517	1828	1701
518	1831	1697
519	1834	1693
520	1838	1690
521	1841	1686
522	1844	1682
523	1848	1678
524	1851	1675
525	1854	1671
526	1857	1667
527	1861	1663
528	1864	1659
529	1867	1656
530	1870	1652
531	1873	1648
532	1877	1644
533	1880	1640
534	1883	1637
535	1886	1633
536	1890	1629
537	1893	1625
538	1896	1622
539	1899	1618
540	1903	1614
541	1906	1611
542	1909	1607
543	1913	1603
544	1916	1600
545	1919	1596
546	1922	1592
547	1926	1588
548	1929	1585
549	1932	1581
550	1935	1577
551	1939	1573
552	1942	1570
553	1945	1566
554	1949	1562
555	1952	1558
556	1955	1555
557	1958	1551
558	1961	1547
559	1965	1544
560	1968	1540
561	1972	1536
562	1975	1533
563	1978	1529
564	1981	1525
565	1985	1522
566	1988	1518
567	1991	1514
568	1994	1511
569	1998	1507
570	2001	1503
571	2004	1499
572	2007	1496
573	2011	1492
574	2014	1488
575	2017	1485
576	2020	1481
577	2024	1477
578	2027	1474
579	2030	1470
580	2034	1467
581	2037	1463
582	2040	1459
583	2044	1456
584	2047	1452
585	2050	1448
586	2053	1444
587	2056	1441
588	2059	1437
589	2063	1433
590	2066	1430
591	2069	1426
592	2073	1422
593	2076	1419
594	2079	1415
595	2082	1411
596	2085	1408
597	2089	1404
598	2092	1400
599	2095	1397
600	2098	1393
601	2102	1390
602	2105	1386
603	2109	1382
604	2112	1379
605	2115	1375
606	2118	1371
607	2121	1368
608	2125	1364
609	2128	1360
610	2131	1357
611	2134	1353
612	2137	1349
613	2141	1346
614	2144	1342
615	2147	1338
616	2151	1335
617	2154	1331
618	2157	1327
619	2160	1324
620	2164	1320
621	2167	1317
622	2170	1313
623	2174	1310
624	2177	1306
625	2180	1302
626	2183	1299
627	2186	1295
628	2189	1291
629	2193	1287
630	2196	1284
631	2199	1280
632	2202	1277
633	2206	1273
634	2209	1269
635	2212	1266
636	2215	1262
637	2218	1258
638	2221	1255
639	2225	1251
640	2228	1248
641	2231	1244
642	2234	1240
643	2238	1237
644	2241	1233
645	2244	1230
646	2247	1226
647	2251	1222
648	2254	1219
649	2257	1215
650	2260	1212
651	2264	1208
652	2267	1204
653	2270	1201
654	2273	1197
655	2277	1194
656	2280	1190
657	2283	1186
658	2286	1183
659	2289	1179
660	2293	1176
661	2296	1172
